"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Reca,Zoltán Metzner,"SMK-MKP, MOST - HÍD"
Rovinka,Milan Bombala,NEKA
Senec,Karol Kvál,NEKA
Tomášov,István Pomichal,NEKA
Tureň,Štefan Čermák,MOST - HÍD
Veľký Biel,Anton Danter,NEKA
Vlky,Baltazár Fejes,SMK-MKP
Zálesie,Jozef Meško,NEKA
Báč,Helena Vonyiková,NEKA
Baka,Juraj Bertalan,NEKA
Baloň,Frigyes Matus,SMK-MKP
Bellova Ves,Jozef Fischer,NEKA
Blahová,Alfréd Kuczman,NEKA
Blatná na Ostrove,Terézia Földváryová,NEKA
Bodíky,Robert Soós,SMK-MKP
Boheľov,Mária Kázmérová,SMK-MKP
Čakany,Lívia Bugárová,NEKA
Čenkovce,Jozef Karika,NEKA
Čiližská Radvaň,Erzsébet Janík,SMK-MKP
Dobrohošť,Jozef Boráros,NEKA
Dolný Bar,Oskár Bereczk,"MOST - HÍD, SMK-MKP, SMER-SD"
Dolný Štál,Tomáš Horváth,NEKA
Dunajská Streda,Zoltán Hájos,SMK-MKP
Dunajský Klátov,Mária Csibová,"MOST - HÍD, SMK-MKP"
Gabčíkovo,Iván Fenes,SMK-MKP
Holice,Imrich Vajas,SMK-MKP
Horná Potôň,Tivadar Sidó,NEKA
Horné Mýto,Andrej Puss,MOST - HÍD
Horný Bar,Štefan Bodó,NEKA
Hviezdoslavov,Marek Kúdela,NEKA
Jahodná,Jarmila Csiba,NEKA
Janíky,Lajos Berner,MOST - HÍD
Jurová,Ladislav Matuška,"MOST - HÍD, SMK-MKP"
Kľúčovec,Csaba Bognár,NEKA
Kostolné Kračany,Ladislav Gódány,MOST - HÍD
Kráľovičove Kračany,Jana Gányovicsová,NEKA
Kútniky,František Bokros,NEKA
Kvetoslavov,Zoltán Sojka,NEKA
Kyselica,Erika Orosz Ágošton,NEKA
Lehnice,František Szitási,NEKA
Lúč na Ostrove,Ladislav Kiss,MOST - HÍD
Macov,Ľudmila Láníková,SMER-SD
Mad,Gabriel László,"MOST - HÍD, SMER-SD, SMK-MKP"
Malé Dvorníky,Zoltán Marczell,MOST - HÍD
Medveďov,Ladislav Morva,SMK-MKP
Mierovo,Katarína Janikovicsová,NEKA
Michal na Ostrove,Július Borbély,NEKA
Ňárad,Jozef Lukács,NEKA
Nový Život,Tibor Fehér,SMK-MKP
Ohrady,Jozef Kubik,NEKA
Okoč,Ladislav Polák,"SMK-MKP, MOST - HÍD"
Oľdza,Tibor Mészáros,SMK-MKP
Orechová Potôň,Szilárd Gálffy,NEKA
Padáň,Zoltán Szabó,"MOST - HÍD, SMK-MKP"
Pataš,Ernest Takács,NEKA
Potônske Lúky,Ladislav Varga,SMK-MKP
Povoda,Alexander Csóka,NEKA
Rohovce,Eugen Horváth,NEKA
Sap,František Miklós,NEKA
Šamorín,Gabriel Bárdos,SMK-MKP
Štvrtok na Ostrove,Péter Őry,SMK-MKP
Topoľníky,László Bacsó,SMK-MKP
Trhová Hradská,Roland Zsoldos,NEKA
Trnávka,Ladislav Herberger,MOST - HÍD
Trstená na Ostrove,Zuzana Bónová,NEKA
Veľká Paka,Ivan Seňan,SIEŤ
Veľké Blahovo,Mária Bödők,NEKA
Veľké Dvorníky,Ján Ürögi,NEKA
Veľký Meder,Samuel Lojkovič,NEKA
Vieska,Robert Mocsonoky,NEKA
Vojka nad Dunajom,Donald Álló,NEKA
Vrakúň,Štefan Fazekas,NEKA
Vydrany,Ladislav Balódi,"MOST - HÍD, SMK-MKP"
Zlaté Klasy,Ottó Csicsay,SMK-MKP
Abrahám,Igor Németh,SMER-SD
Čierna Voda,Zuzana Csadyová,MOST - HÍD
Čierny Brod,Pavel Nagy,NEKA
Dolná Streda,Ľuboš Šúry,SMER-SD
Dolné Saliby,Ľudovít Kovács,SMK-MKP
Dolný Chotár,František Dora,MOST - HÍD
Galanta,Peter Paška,NEKA
Gáň,Denisa Ivančíková,NEKA
Horné Saliby,Pavol Dobosy,MOST - HÍD
Hoste,Ľuboš Karel,NEKA
Jánovce,Ľudovít Dubaň,NEKA
Jelka,Imre Farkas,NEKA
Kajal,Lívia Farkasová,NEKA
Košúty,Zdenka Mačicová,NEKA
Kráľov Brod,Pavel Racsko,NEKA
Malá Mača,František Hontvári,"SMK-MKP, MOST - HÍD"
Matúškovo,Marta Mészárosová,SMK-MKP
Mostová,Tibor Rózsár,NEKA
Pata,Jozef Berčík,KDH
Pusté Sady,Tomáš Nemeček,SMER-SD
Pusté Úľany,Henrich Čambál,SNS
Sereď,Martin Tomčányi,"SMER-SD, SDKÚ-DS"
Sládkovičovo,Anton Szabó,NEKA
Šalgočka,Helena Mesárošová,SMER-SD
Šintava,Miroslav Holička,"SMER-SD, KDH"
Šoporňa,Adrián Macho,NEKA
Tomášikovo,Zoltán Horváth,NEKA
Topoľnica,Zoltán Szilvási,NEKA
Trstice,František Juhos,MOST - HÍD
Váhovce,Adrián Kubica,NEKA
Veľká Mača,Štefan Lancz,MOST - HÍD
Veľké Úľany,František Gőgh,"SMER-SD, MOST - HÍD, SMK-MKP"
Veľký Grob,Viliam Rigo,NEKA
Vinohrady nad Váhom,Eva Hanusová,NEKA
Vozokany,Mikuláš Tončko,NEKA
Zemianske Sady,Roman Súkeník,SMER-SD
Banka,Tatiana Julinyová,NEKA
Bašovce,Ľubomír Dekan,NEKA
Borovce,Ivan Šiška,SMER-SD
Dolný Lopašov,Jozef Petušík,SZS
Drahovce,Juraj Klein,SMER-SD
Dubovany,Miroslav Michalčík,NEKA
Ducové,Mária Koláriková,SMER-SD
Hubina,Jana Myjavcová,SMER-SD
Chtelnica,Peter Radošinský,KDH
Kočín-Lančár,Jozef Reško,SMER-SD
Krakovany,František Klinovský,NEKA
Moravany nad Váhom,Peter Hulman,SMER-SD
Nižná,Kamil Mikuš,NEKA
Ostrov,Jozef Tkácz,NEKA
Pečeňady,Ladislav Boháčik,NEKA
Piešťany,Miloš Tamajka,NEKA
Prašník,Emil Škodáček,SMER-SD
Rakovice,Dušan Daloš,SMER-SD
Ratnovce,Peter Gogol,NEKA
Sokolovce,Marián Dóczy,NEKA
Šípkové,Janka Miškufová,SMER-SD
Šterusy,Zdenka Vlkovičová,SZS
Trebatice,Juraj Valo,NEKA
Veľké Kostoľany,Gilbert Liška,ND
Veľké Orvište,Pavol Paulovič,NEKA
Veselé,Viera Šipková,NEKA
Vrbové,"Ema Maggiová, rod. Kraváriková",NEKA
Bílkove Humence,Rastislav Nemečkay,SMER-SD
Borský Mikuláš,Vladimír Bízek,"KDH, SDKÚ-DS"
Borský Svätý Jur,Anna Kratochvílová,NEKA
Brodské,Anna Krídlová,NEKA
Cerová,Ján Čerešník,NEKA
Čáry,Martin Královič,NEKA
Častkov,Eva Černeková,NEKA
Dojč,Slavomíra Melišová,SMER-SD
Dubovce,Dana Dorothea Mikulová,NEKA
Gbely,Jozef Hazlinger,NEKA
Hlboké,Miloš Čobrda,NEKA
Holíč,Zdenko Čambal,"SMER-SD, ND"
Hradište pod Vrátnom,Lukáš Piroha,NEKA
Chropov,Ján Bartal,NEKA
Jablonica,Silvester Nestarec,NEKA
Kátov,Terézia Kučerová,NEKA
Kopčany,Dušan Dubecký,NEKA
Koválov,Pavol Kuba,KDH
Koválovec,Patrik Renováček,NEKA
Kuklov,Štefan Šimkovič,SMER-SD
Kúty,Branislav Vávra,NEKA
Lakšárska Nová Ves,Oľga Procházková,SNS
Letničie,Marián Dvorský,"SDKÚ-DS, SMER-SD"
Lopašov,Marián Bederka,"SMER-SD, KDH"
Mokrý Háj,Peter Pobuda,NEKA
Moravský Svätý Ján,Anton Emrich,NEKA
Oreské,Tomáš Mikuš,"KDH, SMER-SD"
Osuské,Anton Fiala,NEKA
Petrova Ves,Štefan Beňa,"SMER-SD, KDH"
Plavecký Peter,Jozefína Bartoňová,NEKA
Podbranč,Milan Kadlíček,NEKA
Popudinské Močidľany,Dana Žúrková,"SDKÚ-DS, KDH, ND"
Prietrž,Dana Blažková,NEKA
Prietržka,Peter Flamík,NEKA
Prievaly,Tatiana Beňáková,"KDH, SMER-SD"
Radimov,Ján Provazník,"SMER-SD, KDH"
Radošovce,Vladimír Kočárik,KDH
Rohov,Roman Ravas,NEKA
Rovensko,Marian Rehuš,NEKA
Rybky,Henrich Ravas,NEKA
Sekule,Pavla Maxianová,NEKA
Senica,Branislav Grimm,NEKA
Skalica,Ľudovít Barát,NEKA
Smolinské,Peter Betták,SMER-SD
Smrdáky,Ingrid Tripšanská,KDH
Sobotište,Dušan Horňák,NEKA
Šajdíkove Humence,Pavol Burda,SDKÚ-DS
Šaštín-Stráže,Jaroslav Suchánek,NEKA
Štefanov,Rudolf Polák,KDH
Trnovec,Jozef Kotvan,"SMER-SD, KDH"
Unín,Ján Palkovič,NEKA
Vrádište,Milan Kováč,NEKA
Biely Kostol,Pavol Kováč,NEKA
Bíňovce,Mária Cádrová,NEKA
Bohdanovce nad Trnavou,Miroslav Sučák,NEKA
Bojničky,Igor Bojnanský,"SMER-SD, KDH"
Boleráz,Pavol Mackovčín,NEKA
Borová,Blanka Matovičová,NEKA
Brestovany,Ondrej Kuhajda,NEKA
Bučany,Šebestian Lančarič,NEKA
Buková,Miloš Herceg,NEKA
Cífer,Maroš Sagan,"KDH, NOVA, SDKÚ-DS"
Červeník,Marián Mihálik,SMER-SD
Dechtice,Karol Zachar,SMER-SD
Dlhá,Rudolf Braniša,SMER-SD
Dobrá Voda,René Blanárik,SMER-SD
Dolná Krupá,Teofil Mihalovič,KDH
Dolné Lovčice,František Juriš,SMER-SD
Dolné Orešany,Juliana Belicová,NEKA
Dolné Otrokovce,Ján Maršala,NEKA
Dolné Trhovište,Jaroslav Mrváň,SMER-SD
Dolné Zelenice,Dagmar Jakubcová,NEKA
Dvorníky,Ľuboš Gubáň,"SMER-SD, KDH, SNS"
Hlohovec,Miroslav Kollár,NEKA
Horná Krupá,Ľuboš Hačko,SDKÚ-DS
Horné Dubové,Ján Hrčka,NEKA
Horné Orešany,Jarmila Petrovičová,NEKA
Horné Otrokovce,Eva Kukučková,NEKA
Horné Trhovište,Tibor Veľký,SNS
Horné Zelenice,Viera Darivčaková,NEKA
Hrnčiarovce nad Parnou,Jaroslav Kráľovič,NEKA
Jalšové,Emília Živčáková,NEKA
Jaslovské Bohunice,Božena Krajčovičová,NEKA
Kátlovce,Pavol Johanes,NEKA
Kľačany,Emília Cvíčelová,NEKA
Koplotovce,Jozef Števík,KDH
Košolná,Martin Halaksa,SMER-SD
Križovany nad Dudváhom,Svetlana Masaryková,NEKA
Leopoldov,Terézia Kavuliaková,NEKA
Lošonec,Juraj Rábara,NEKA
Madunice,Alena Jelušová,NEKA
Majcichov,Tibor Marek,NEKA
Malženice,Miroslav Macko,NEKA
Merašice,Stanislav Michal,SMER-SD
Naháč,Vladimír Kašša,NEKA
Opoj,Peter Bartovič,NEKA
Pastuchov,Štefan Huszár,NOVA
Pavlice,Ľubomír Baláž,NEKA
Radošovce,Miroslav Remenár,KDH
Ratkovce,Martin Červenka,NEKA
Ružindol,Vladimír Púčik,NEKA
Sasinkovo,Jaroslav Jamrich,SMER-SD
Siladice,Róbert Repka,NEKA
Slovenská Nová Ves,Tibor Szládicsek,SDKÚ-DS
Smolenice,Anton Chrvala,NEKA
Suchá nad Parnou,Daniela Balážová,NEKA
Šelpice,Ružena Opálková,NEKA
Špačince,Július Zemko,SMER-SD
Šúrovce,Žaneta Gogolová,NEKA
Tekolďany,Alena Rolincová,KDH
Tepličky,Mária Janičková,NEKA
Trakovice,Ľudovít Tolarovič,NEKA
Trnava,Peter Bročka,NEKA
Trstín,Marta Genčúrová,NEKA
Vlčkovce,Ivan Dobrovodský,NEKA
Voderady,Pavol Augustín,NEKA
Zavar,Rudolf Baroš,NEKA
Zeleneč,Daniela Mizerová,NEKA
Zvončín,Michaela Strakošová,NEKA
Žlkovce,Tibor Stanko,KDH
Bánovce nad Bebravou,Marián Chovanec,NEKA
Borčany,Jaroslav Kopčan,NEKA
Brezolupy,Jarmila Hrúzová,SMER-SD
Cimenná,Peter Vanek,SNS
Čierna Lehota,Dušan Horák,SNS
Dežerice,Ladislav Chudoba,SMER-SD
Dolné Naštice,Marian Petreje,SMER-SD
Dubnička,Jozef Petrek,SMER-SD
Dvorec,Eva Srncová,SMER-SD
Haláčovce,Zuzana Mokryšová,NEKA
Horné Naštice,Jozef Hedera,KDH
Chudá Lehota,Milan Daniš,SDS
Krásna Ves,Milan Došek,SMER-SD
Kšinná,Miroslav Tuchyňa,NEKA
Libichava,Ingrid Sitárová,SMER-SD
Ľutov,Miroslav Struhačka,SMER-SD
Malá Hradná,Mária Jandáková,NEKA
Malé Hoste,Teodor Rusnák,SMER-SD
Miezgovce,Juraj Trgyňa,SMER-SD
Nedašovce,Elena Magdolenová,NEKA
Omastiná,Viliam Kusý,SMER-SD
Otrhánky,Ján Strempek,NEKA
Pečeňany,Edita Sivová,NEKA
Podlužany,Pavel Miksa,SMER-SD
Pochabany,Mária Štrbáková,SMER-SD
Pravotice,Viera Graňačková,NEKA
Prusy,Igor Súkeník,SMER-SD
Ruskovce,Jaroslav Mlynek,NEKA
Rybany,Roman Malánik,SMER-SD
Slatina nad Bebravou,Alena Vranková,NEKA
Slatinka nad Bebravou,Mária Jakubčeková,KDH
Šípkov,Vincent Belan,SNS
Šišov,Jaroslav Sitár,SMER-SD
Timoradza,Juraj Krajčík,NEKA
Trebichava,Alena Salajová,NEKA
Uhrovec,Zuzana Máčeková,NEKA
Uhrovské Podhradie,Milan Miškerik,SMER-SD
Veľké Držkovce,Marián Čerňanský,KDH
Veľké Hoste,Pavel Igaz,SMER-SD
Veľké Chlievany,Zuzana Flórová,SMER-SD
Vysočany,Ivan Sečanský,SMER-SD
Zlatníky,Milan Gešnábel,SNS
Žitná-Radiša,Rudolf Botka,SMER-SD
Beckov,Ján Križan,NEKA
Bošáca,Daniel Juráček,NEKA
Brestovec,Dušan Duga,NEKA
Brezová pod Bradlom,Eva Ušiaková,SMER-SD
Brunovce,Júlia Masárová,NEKA
Bukovec,Marcela Pavesková,NEKA
Bzince pod Javorinou,Alena Šoltysová,NEKA
Čachtice,Michal Balala,NEKA
Častkovce,Dušan Bublavý,SMER-SD
Dolné Srnie,Miroslav Skovajsa,SMER-SD
Haluzice,Miloš Madila,SMER-SD
Horná Streda,Ľubomír Krajňanský,SMER-SD
Hôrka nad Váhom,Eva Sevaldová,NEKA
Hrádok,Rastislav Beňo,SMER-SD
Hrachovište,Ivan Kolník,SMER-SD
Hrašné,Vladimír Stančík,SMER-SD
Chvojnica,Marian Kollár,SMER-SD
Jablonka,Anna Cigáneková,SMER-SD
Kálnica,Ján Krchnavý,SMER-SD
Kočovce,Jozef Ševcech,NEKA
Kostolné,Miroslav Cibulka,SMER-SD
Košariská,Anna Abramovičová,NEKA
Krajné,Peter Kubis,SMER-SD
Lubina,Martin Beňatinský,SMER-SD
Lúka,Vladimír Vöröš,SMER-SD
Modrová,Stanislav Uhrin,NEKA
Modrovka,Roman Pomajbo,SMER-SD
Moravské Lieskové,Róbert Palko,NEKA
Myjava,Pavel Halabrín,NEKA
Nová Bošáca,Ján Žucha,NEKA
Nová Lehota,Bohuslav Plačko,SMER-SD
Nová Ves nad Váhom,Igor Jambor,NEKA
Nové Mesto nad Váhom,Jozef Trstenský,SMER-SD
Očkov,Miroslav Beňovič,NEKA
Pobedim,Martin Lednický,SMER-SD
Podkylava,Dušan Kadlečík,SMER-SD
Podolie,Anna Čechvalová,"KDH, SMER-SD"
Polianka,Dušan Mockovčiak,SMER-SD
Poriadie,Zuzana Boskovičová,NEKA
Potvorice,Ľubomír Malo,SMER-SD
Považany,Eva Ninisová,NEKA
Priepasné,Peter Czere,NEKA
Rudník,Monika Caltíková,NEKA
Stará Lehota,Jaroslav Pikus,NOVA
Stará Myjava,Pavol Kováč,NEKA
Stará Turá,Anna Halinárová,SMER-SD
Trenčianske Bohuslavice,Bibiana Naďová,SDKÚ-DS
Vaďovce,Alžbeta Tuková,SMER-SD
Višňové,Pavol Hluchý,NEKA
Vrbovce,Samuel Redecha,NEKA
Zemianske Podhradie,Miroslav Zámečník,NEKA
Beluša,Ján Prekop,"SMER-SD, KDH, SNS"
Bodiná,Marcela Filová,NEKA
Brvnište,Dagmar Mikudíková,"SMER-SD, KDH"
Čelkova Lehota,Juraj Čelko,SMER-SD
Dohňany,Milan Panáček,SMER-SD
Dolná Breznica,Lukáš Pekara,NEKA
Dolná Mariková,Peter Šujak,NEKA
Dolné Kočkovce,Peter Regina,SDS
Dolný Lieskov,Ján Križan,NEKA
Domaniža,František Matušík,"SMER-SD, SNS, SZ, SDKÚ-DS"
Ďurďové,Anton Ondrásky,NEKA
Hatné,Iveta Žilovcová,NEKA
Horná Breznica,Tibor Mičko,NEKA
Horná Mariková,Miroslav Hamar,"SMER-SD, KDH"
Horný Lieskov,Andrej Torda,NEKA
Horovce,Milan Velas,NEKA
Jasenica,Richard Pekar,NEKA
Klieština,Helena Koštialiková,NEKA
Kostolec,Miroslav Michalík,NEKA
Kvašov,Marián Pavlík,SMER-SD
Lazy pod Makytou,Ján Mičic,NEKA
Lednica,Kamil Karas,SMER-SD
Lednické Rovne,Marian Horečný,NEKA
Lúky,Ján Behro,NEKA
Lysá pod Makytou,Michal Ondrička,SMER-SD
Malé Lednice,Ján Hamar,NEKA
Mestečko,Anna Václavíková,NEKA
Mojtín,František Staňo,SMER-SD
Nimnica,Ladislav Ďureček,SMER-SD
Papradno,Roman Španihel,"SMER-SD, KDH"
Plevník-Drienové,Miroslav Kremeň,"SMER-SD, KDH, SNS"
Počarová,Ladislav Lagín,"SNS, SMER-SD"
Podskalie,Anton Mitaš,"SMER-SD, KDH, SNS"
Považská Bystrica,Karol Janas,"SMER-SD, KDH, SDKÚ-DS"
Prečín,Anton Lagíň,"SNS, SZ"
Pružina,Michal Ušiak,"SMER-SD, KDH"
Púchov,Rastislav Henek,NEKA
Sádočné,František Sádecký,SMER-SD
Slopná,Štefan Hrenák,"SMER-SD, KDH"
Streženice,Juraj Hrišo,SMER-SD
Stupné,Peter Krajčoviech,"SMER-SD, KDH"
Sverepec,Maroš Ondráš,"SNS, SMER-SD"
Udiča,Peter Chochlík,SMER-SD
Visolaje,Daniela Ďuricová,NEKA
Vrchteplá,Ladislav Kolek,SMER-SD
Vydrná,Milan Gášek,SMER-SD
Záriečie,Jozef Kollár,NEKA
Záskalie,Štefan Šaradín,SMER-SD
Zubák,Pavol Gelo,SMER-SD
Bojnice,František Tám,SMER-SD
Bošany,Branislav Pajda,NEKA
Brodzany,Anton Zima,SMER-SD
Bystričany,Vojtech Bartoš,"SMER-SD, SIEŤ"
Cigeľ,Štefan Mjartan,SMER-SD
Čavoj,Ján Halaška,NEKA
Čereňany,Ján Mokrý,SNS
Diviacka Nová Ves,Ivan Kohút,NEKA
Diviaky nad Nitricou,Vladimír Pružinec,NEKA
Dlžín,František Adamec,NEKA
Dolné Vestenice,Kvetoslava Šimorová,SIEŤ
Handlová,Rudolf Podoba,SMER-SD
Horná Ves,Jozef Hrotek,"SDS, SMER-SD, SIEŤ"
Horné Vestenice,Pavol Foltán,NEKA
Hradište,Miloš Baránik,NEKA
Chrenovec-Brusno,Tibor Čičmanec,SMER-SD
Chvojnica,Branislav Dobrotka,NEKA
Chynorany,Mária Lachkovičová,NEKA
Jalovec,Peter Kotian,SMER-SD
Ješkova Ves,Pavel Greguš,SMER-SD
Kamenec pod Vtáčnikom,Dušan Ďuriš,SMER-SD
Kanianka,Ivor Husár,NEKA
Kľačno,Jozef Vrábeľ,SIEŤ
Klátova Nová Ves,Iveta Randziaková,SMER-SD
Kocurany,Vojtech Čičmanec,"SIEŤ, SMER-SD"
Kolačno,Lýdia Petríková,"SMER-SD, KDH, SNS"
Kostolná Ves,Mária Žofčinová,NEKA
Koš,Štefan Závadinka,NEKA
Krásno,Martin Mikloš,"SDKÚ-DS, KDH, SMER-SD"
Lazany,Jana Matiašková,SMER-SD
Lehota pod Vtáčnikom,Ján Cipov,SMER-SD
Liešťany,Ľubomír Noska,NEKA
Lipník,Peter Mikuško,SMER-SD
Livina,Jana Petrejeová,SMER-SD
Livinské Opatovce,Daniela Hanová,NEKA
Malá Čausa,Peter Vido,SMER-SD
Malé Kršteňany,Jaroslav Kopál,SMER-SD
Malé Uherce,Štefan Čepko,NEKA
Malinová,Mária Luprichová,SNS
Nadlice,Peter Dubravický,SMER-SD
Nedanovce,Jozef Jakubík,SMER-SD
Nedožery-Brezany,Martin Mokrý,"KDH, SDKÚ-DS, SMER-SD"
Nevidzany,Beata Vrecková,SMER-SD
Nitrianske Pravno,Jozef Balčirák,"KDH, SIEŤ, SDKÚ-DS, SMER-SD"
Nitrianske Rudno,Róbert Štrbák,NEKA
Nitrianske Sučany,Pavol Caňo,NEKA
Nitrica,Miroslav Beňadik,SMER-SD
Nováky,Daniel Daniš,NEKA
Opatovce nad Nitrou,Dana Melišková,NEKA
Oslany,František Priekala,NEKA
Ostratice,Ján Podoba,NEKA
Partizánske,Jozef Božik,NEKA
Pažiť,Vladimír Baláška,SMER-SD
Podhradie,Ľudovít Michalovič,NEKA
Poluvsie,Martin Šujan,SMER-SD
Poruba,Helena Čavojská,SMER-SD
Pravenec,Róbert Mikulášik,NEKA
Prievidza,Katarína Macháčková,SIEŤ
Radobica,Stanislav Bartoš,SMER-SD
Ráztočno,Ivan Škrteľ,SMER-SD
Rudnianska Lehota,Ivan Javorček,SMER-SD
Sebedražie,Peter Juríček,NEKA
Seč,Anton Vrecko,SIEŤ
Skačany,Juraj Kližan,NEKA
Šútovce,Miroslav Rajčo,SMER-SD
Temeš,Oľga Fakanová,SMER-SD
Turčianky,Eva Dragulová,SMER-SD
Tužina,Miroslav Dzina,NEKA
Valaská Belá,Miloš Cúcik,"SMER-SD, SDS, SNS"
Veľká Čausa,Dušan Ďurdina,SMER-SD
Veľké Kršteňany,Vladimír Kopál,SMER-SD
Veľké Uherce,Alena Chalupová,NEKA
Veľký Klíž,Tatiana Sasková,SMER-SD
Zemianske Kostoľany,Jana Školíková,NEKA
Žabokreky nad Nitrou,Otakár Sneženka,NEKA
Adamovské Kochanovce,Michal Križan,NEKA
Bobot,Danka Ďuriačová,SMER-SD
Bohunice,Peter Hajdúch,NEKA
Bolešov,Martin Rác,"SZ, SMER-SD"
Borčice,Anton Fabuš,SMER-SD
Červený Kameň,Jozef Bartoš,KDH
Dolná Poruba,Miroslav Kopčan,NEKA
Dolná Súča,Rudolf Pleva,NEKA
Drietoma,Jozef Kluka,NEKA
Dubnica nad Váhom,Jozef Gašparík,NEKA
Dubodiel,Anton Prechádzka,NEKA
Dulov,Jozef Šamaj,NEKA
Horná Poruba,Milan Staňo,"SNS, SMER-SD"
Horná Súča,Juraj Ondračka,NEKA
