"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Kátlovce,Pavol Johanes,NEKA
Košolná,Martin Halaksa,SMER-SD
Križovany nad Dudváhom,Svetlana Královičová,NEKA
Lošonec,Juraj Rábara,NEKA
Majcichov,Tibor Marek,NEKA
Malženice,Miroslav Macko,NEKA
Naháč,David Ivanovič,NEKA
Opoj,Peter Bartovič,NEKA
Pavlice,Ivana Stachová,KDH
Radošovce,Miroslav Remenár,KDH
Ružindol,Peter Galanský,NEKA
Slovenská Nová Ves,Andrej Kusý,NEKA
Smolenice,Anton Chrvala,NEKA
Suchá nad Parnou,Martin Glončák,NEKA
Šelpice,Ružena Opálková,NEKA
Špačince,Július Zemko,SMER-SD
Šúrovce,Žaneta Gogolová,NEKA
Trnava,Peter Bročka,NEKA
Trstín,Peter Hlávek,NEKA
Vlčkovce,Ivan Dobrovodský,NEKA
Voderady,Anita Gajarská,NEKA
Zavar,Lukáš Sochor,NEKA
Zeleneč,Ľubomír Jedlička,NEKA
Zvončín,Katarína Dudášová,NEKA
Bánovce nad Bebravou,Rudolfa Novotná,NEKA
Borčany,Jaroslav Kopčan,SMER-SD
Brezolupy,Iveta Rosová,SMER-SD
Cimenná,Peter Vanek,SNS
Čierna Lehota,Dušan Horák,SNS
Dežerice,Ladislav Chudoba,SMER-SD
Dolné Naštice,Ľubomíra Kasalová,NEKA
Dubnička,Jozef Petrek,SMER-SD
Dvorec,Eva Srncová,SMER-SD
Haláčovce,Zuzana Mokryšová,NEKA
Horné Naštice,Jozef Hedera,KDH
Chudá Lehota,Milan Daniš,SMER-SD
Krásna Ves,Milan Došek,SMER-SD
Kšinná,Tatiana Botková,NEKA
Libichava,Ingrid Sitárová,SMER-SD
Ľutov,Marian Korbel,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)"
Malá Hradná,Mária Jandáková,NEKA
Malé Hoste,Marta Gregorová,NEKA
Miezgovce,Juraj Trgyňa,SMER-SD
Nedašovce,Elena Magdolenová,SMER-SD
Omastiná,,
Otrhánky,Ján Strempek,NEKA
Pečeňany,Jozef Lukniš,SMER-SD
Podlužany,Pavel Miksa,SMER-SD
Pochabany,Mária Štrbáková,SMER-SD
Pravotice,Viera Graňačková,NEKA
Prusy,Igor Súkeník,SMER-SD
Ruskovce,Jaroslav Mlynek,NEKA
Rybany,Roman Malánik,SMER-SD
Slatina nad Bebravou,Alena Vranková,SMER-SD
Slatinka nad Bebravou,Zuzana Koláriková,SME RODINA - Boris Kollár
Šípkov,Eduard Hollý,SNS
Šišov,Elena Valachová,SMER-SD
Timoradza,Juraj Krajčík,NEKA
Trebichava,Iveta Šebeňová,SMER-SD
Uhrovec,Zuzana Máčeková,NEKA
Uhrovské Podhradie,Javier Linde Esteban,NEKA
Veľké Držkovce,Marián Čerňanský,SNS
Veľké Hoste,Gabriela Bronišová,NEKA
Veľké Chlievany,Zuzana Flórová,SMER-SD
Vysočany,Ivan Sečanský,SMER-SD
Zlatníky,Erik Števula,NEKA
Žitná - Radiša,Rudolf Botka,SMER-SD
Brestovec,Dušan Duga,NEKA
Brezová pod Bradlom,Jaroslav Ciran,NEKA
Bukovec,Marcela Pavesková,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
Hrašné,Pavel Hučko,SNS
Chvojnica,Marian Kollár,SMER-SD
Jablonka,Anna Cigáneková,SMER-SD
Kostolné,Miroslav Cibulka,SMER-SD
Košariská,Štefan Antol,NEKA
Krajné,Ján Konečník,SNS
Myjava,Pavel Halabrín,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
Podkylava,Ján Morihladko,NEKA
Polianka,Pavol Kňazský,NEKA
Poriadie,Martin Pražienka,NEKA
Priepasné,Peter Czere,NEKA
Rudník,Monika Malcová,NEKA
Stará Myjava,Pavol Kováč,NEKA
Vrbovce,Dušan Eliáš,SZS
Beckov,Daniel Hladký,NEKA
Bošáca,Daniel Juráček,NEKA
Brunovce,Stanislava Zervanová,ĽS Naše Slovensko
Bzince pod Javorinou,Dušan Málik,NEKA
Čachtice,Erika Ondrejková,NEKA
Častkovce,Dušan Bublavý,SMER-SD
Dolné Srnie,Juraj Hamaj,SMER-SD
Haluzice,Miloš Madila,SMER-SD
Horná Streda,Ľubomír Krajňanský,SMER-SD
Hôrka nad Váhom,Eva Sevaldová,NEKA
Hrádok,Rastislav Beňo,SMER-SD
Hrachovište,Ivan Kolník,SMER-SD
Kálnica,Iveta Poluchová,NEKA
Kočovce,Monika Kopúnová,NEKA
Lubina,Martin Beňatinský,SMER-SD
Lúka,Marian Haluza,NEKA
Modrová,Stanislav Uhrin,NEKA
Modrovka,Vladimír Balaj,NEKA
Moravské Lieskové,Róbert Palko,NEKA
Nová Bošáca,Ján Žucha,SMER-SD
Nová Lehota,,
Nová Ves nad Váhom,Igor Jambor,NEKA
Nové Mesto nad Váhom,Jozef Trstenský,SMER-SD
Očkov,Miroslav Beňovič,NEKA
Pobedim,Martin Lednický,SMER-SD
Podolie,Rastislav Bobocký,NEKA
Potvorice,Peter Kučík,NEKA
Považany,Eva Ninisová,NEKA
Stará Lehota,Peter Michalka,SMER-SD
Stará Turá,Leopold Barszcz,NEKA
Trenčianske Bohuslavice,Darina Jurigová,SMER-SD
Vaďovce,Alžbeta Tuková,SMER-SD
Višňové,Pavol Hluchý,NEKA
Zemianske Podhradie,Miroslav Zámečník,NEKA
Bodiná,Marcela Filová,NEKA
Brvnište,Dagmar Mikudíková,"SMER-SD, SNS"
Čelkova Lehota,Juraj Čelko,SMER-SD
Dolná Mariková,Peter Šujak,NEKA
Dolný Lieskov,Ján Križan,"SMER-SD, SNS"
Domaniža,František Matušík,"SMER-SD, SNS, SZ"
Ďurďové,Anton Ondrásky,NEKA
Hatné,Iveta Žilovcová,NEKA
Horná Mariková,Miroslav Hamar,"SMER-SD, SNS"
Horný Lieskov,Andrej Torda,NEKA
Jasenica,Richard Pekar,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), Progresívne Slovensko, Zmena zdola, DÚ, NOVA"
Klieština,Rastislav Bačík,NEKA
Kostolec,Miroslav Michalík,SNS
Malé Lednice,Ján Hamar,SNS
Papradno,Roman Španihel,SMER-SD
Plevník - Drienové,Miroslav Kremeň,"SMER-SD, SNS, SZ"
Počarová,Ladislav Lagín,SNS
Podskalie,Zuzana Dočekalová,NEKA
Považská Bystrica,Karol Janas,"SMER-SD, SNS, SZ"
Prečín,Anton Lagíň,"SNS, SMER-SD, SZ"
Pružina,Michal Ušiak,"SMER-SD, SNS"
Sádočné,Ivan Sádecký,SMER-SD
Slopná,Štefan Hrenák,KDH
Stupné,Peter Krajčoviech,"SMER-SD, SNS"
Sverepec,Maroš Ondráš,"SNS, SMER-SD"
Udiča,Peter Chochlík,SMER-SD
Vrchteplá,Ladislav Kolek,SMER-SD
Záskalie,František Koleno,SMER-SD
Beluša,Ján Prekop,NEKA
Dohňany,Milan Panáček,SMER-SD
Dolná Breznica,Lukáš Pekara,NEKA
Dolné Kočkovce,Martin Dolinský,NEKA
Horná Breznica,Tibor Mičko,NEKA
Horovce,Milan Velas,NEKA
Kvašov,Marián Pavlík,SMER-SD
Lazy pod Makytou,Ján Mičega,NEKA
Lednica,Kamil Karas,SMER-SD
Lednické Rovne,Marian Horečný,NEKA
Lúky,Ján Behro,NEKA
Lysá pod Makytou,Michal Ondrička,SMER-SD
Mestečko,Ján Hlinka,NEKA
Mojtín,František Staňo,SMER-SD
Nimnica,Ladislav Ďureček,NEKA
Púchov,Katarína Heneková,NEKA
Streženice,Juraj Hrišo,SMER-SD
Visolaje,Vincenc Hrenák,NEKA
Vydrná,Milan Gášek,"SMER-SD, SNS"
Záriečie,Jozef Kollár,NEKA
Zubák,Pavol Gelo,SMER-SD
Bošany,Branislav Pajda,NEKA
Brodzany,Anton Zima,SMER-SD
Hradište,Miloš Baránik,"SNS, SMER-SD"
Chynorany,Mária Lachkovičová,NEKA
Ješkova Ves,Pavel Greguš,SMER-SD
Klátova Nová Ves,Iveta Randziaková,SMER-SD
Kolačno,Lýdia Petríková,"SMER-SD, SNS"
Krásno,Martin Mikloš,"SDKÚ-DS, SMER-SD, SNS, MOST - HÍD, SZ"
Livina,Jana Petrejeová,SMER-SD
Livinské Opatovce,Alena Kubrická,NEKA
Malé Kršteňany,Eva Mešinová,"SMER-SD, SNS"
Malé Uherce,Štefan Čepko,NEKA
Nadlice,Július Paulička,NEKA
Nedanovce,Jozef Jakubík,SMER-SD
Ostratice,Stanislav Margolien,NEKA
Partizánske,Jozef Božik,NEKA
Pažiť,Mária Gendiarová,"KDH, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS"
Skačany,Juraj Kližan,SNS
Turčianky,Eva Dragulová,SMER-SD
Veľké Kršteňany,Vladimír Kopál,"SMER-SD, SNS"
Veľké Uherce,Alena Chalupová,"SMER-SD, SNS"
Veľký Klíž,Anton Stanko,"KDH, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SaS"
Žabokreky nad Nitrou,Cyril Cabadaj,NEKA
Bojnice,František Tám,"SMER-SD, SNS"
Bystričany,Filip Lukáč,NEKA
Cigeľ,Štefan Mjartan,SMER-SD
Čavoj,Anna Gulášová,SMER-SD
Čereňany,Richard Masný,NEKA
Diviacka Nová Ves,Ivan Kohút,NEKA
Diviaky nad Nitricou,Vladimír Pružinec,NEKA
Dlžín,František Adamec,NEKA
Dolné Vestenice,Kvetoslava Šimorová,SPOLU
Handlová,Silvia Grúberová,NEKA
Horná Ves,Jozef Hrotek,SMER-SD
Horné Vestenice,Pavol Foltán,NEKA
Chrenovec - Brusno,Tibor Čičmanec,SMER-SD
Chvojnica,Branislav Dobrotka,NEKA
Jalovec,Peter Kotian,SMER-SD
Kamenec pod Vtáčnikom,Dušan Ďuriš,SMER-SD
Kanianka,Ivor Husár,NEKA
Kľačno,Jozef Ďuriš,SME RODINA - Boris Kollár
Kocurany,Vojtech Čičmanec,NEKA
Kostolná Ves,Mária Žofčinová,NEKA
Koš,Peter Závadinka,NEKA
Lazany,Jana Matiašková,NEKA
Lehota pod Vtáčnikom,Ján Daňo,NEKA
Liešťany,Ľubomír Noska,NEKA
Lipník,Peter Mikuško,SMER-SD
Malá Čausa,Jozef Krpelan,NEKA
Malinová,Juraj Stiffel,NEKA
Nedožery - Brezany,Jaroslav Pekár,NEKA
Nevidzany,Beata Vrecková,SMER-SD
Nitrianske Pravno,Andrej Richter,KDH
Nitrianske Rudno,Robert Štrbák,NEKA
Nitrianske Sučany,Pavol Caňo,NEKA
Nitrica,Miroslav Jemala,NEKA
Nováky,Dušan Šimka,NEKA
Opatovce nad Nitrou,Dana Melišková,NEKA
Oslany,František Priekala,NEKA
Podhradie,Ľudovít Michalovič,NEKA
Poluvsie,Martin Šujan,SMER-SD
Poruba,Tomáš Tóth,NEKA
Pravenec,Róbert Mikulášik,NEKA
Prievidza,Katarína Macháčková,SPOLU
Radobica,Elena Valenteje,NEKA
Ráztočno,Ivan Škrteľ,SMER-SD
Rudnianska Lehota,Ivan Javorček,SMER-SD
